date,state,store_id,product_category,SKU,price,quantity
2015-01-05,CA,1,A,A1,7.98,5.0
2015-01-06,CA,1,A,A1,7.92,6.0
2015-01-07,CA,1,A,A1,7.87,6.0
2015-01-08,CA,1,A,A1,8.04,6.0
2015-01-09,CA,1,A,A1,7.85,6.0
2015-01-10,CA,1,A,A1,7.91,7.0
2015-01-11,CA,1,A,A1,7.87,7.0
2015-01-12,CA,1,A,A1,7.74,6.0
2015-01-13,CA,1,A,A1,7.85,6.0
2015-01-14,CA,1,A,A1,7.92,6.0
2015-01-15,CA,1,A,A1,7.97,7.0
2015-01-16,CA,1,A,A1,7.86,7.0
2015-01-17,CA,1,A,A1,7.84,7.0
2015-01-18,CA,1,A,A1,7.84,7.0
2015-01-19,CA,1,A,A1,7.84,7.0
2015-01-20,CA,1,A,A1,8.01,6.0
2015-01-21,CA,1,A,A1,7.93,6.0
2015-01-22,CA,1,A,A1,8.09,7.0
2015-01-23,CA,1,A,A1,7.84,7.0
2015-01-24,CA,1,A,A1,7.97,7.0
2015-01-25,CA,1,A,A1,7.87,7.0
2015-01-26,CA,1,A,A1,7.85,7.0
2015-01-27,CA,1,A,A1,8.0,7.0
2015-01-28,CA,1,A,A1,7.73,7.0
2015-01-29,CA,1,A,A1,8.03,7.0
2015-01-30,CA,1,A,A1,7.84,7.0
2015-01-31,CA,1,A,A1,7.82,8.0
2015-02-01,CA,1,A,A1,7.88,8.0
2015-02-02,CA,1,A,A1,7.87,7.0
2015-02-03,CA,1,A,A1,7.77,7.0
2015-02-04,CA,1,A,A1,7.89,8.0
2015-02-05,CA,1,A,A1,7.82,8.0
2015-02-06,CA,1,A,A1,7.96,8.0
2015-02-07,CA,1,A,A1,7.87,7.0
2015-02-08,CA,1,A,A1,7.93,7.0
2015-02-09,CA,1,A,A1,8.04,7.0
2015-02-10,CA,1,A,A1,7.86,8.0
2015-02-11,CA,1,A,A1,7.79,8.0
2015-02-12,CA,1,A,A1,7.98,7.0
2015-02-13,CA,1,A,A1,7.84,8.0
2015-02-14,CA,1,A,A1,8.0,7.0
2015-02-15,CA,1,A,A1,7.98,7.0
2015-02-16,CA,1,A,A1,7.92,7.0
2015-02-17,CA,1,A,A1,8.01,7.0
2015-02-18,CA,1,A,A1,7.97,8.0
2015-02-19,CA,1,A,A1,7.88,7.0
2015-02-20,CA,1,A,A1,7.93,7.0
2015-02-21,CA,1,A,A1,7.85,8.0
2015-02-22,CA,1,A,A1,7.9,8.0
2015-02-23,CA,1,A,A1,7.86,7.0
2015-02-24,CA,1,A,A1,7.79,8.0
2015-02-25,CA,1,A,A1,7.79,7.0
2015-02-26,CA,1,A,A1,7.96,8.0
2015-02-27,CA,1,A,A1,7.93,7.0
