ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Damage Cost,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2705685,HJ329710,2003-04-26 00:00:00,105XX S WOOD ST,0460,BATTERY,SIMPLE,RESIDENCE,4615,False,False,2212,NA,19,72,08B,1166261,1834693,2003,ERROR,41.701967722,-87.666817049,"(41.701967722, -87.666817049)"
8367900,HT600798,2011-11-22 15:15:00,063XX S PULASKI RD,0890,THEFT,FROM BUILDING,LIBRARY,3882,False,False,813,8,13,65,06,1150746,1862490,2011,ERROR,41.778563069,-87.722907063,"(41.778563069, -87.722907063)"
8726660,HV402430,2012-07-26 19:30:00,019XX W BELMONT AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,4566,False,False,1931,19,32,5,05,1162975,1921223,2012,ERROR,41.939485082,-87.676427052,"(41.939485082, -87.676427052)"
9103375,HW247768,2013-04-25 14:20:00,047XX S ASHLAND AVE,0460,BATTERY,SIMPLE,SIDEWALK,2469,False,False,931,9,20,61,08B,1166425,1873469,2013,ERROR,41.808370972,-87.665113707,"(41.808370972, -87.665113707)"
3807148,HL176623,2005-02-12 01:24:03,078XX S EAST END AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,ALLEY,989,False,False,414,4,8,43,07,1188944,1853066,2005,ERROR,41.751873397,-87.583173082,"(41.751873397, -87.583173082)"
4241820,HL534761,2005-08-07 21:12:26,068XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,3807,False,False,725,7,17,67,08B,1166478,1859475,2005,ERROR,41.769968592,-87.665318117,"(41.769968592, -87.665318117)"
4824796,HM433465,2006-06-23 22:15:00,105XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,1504,False,False,512,5,34,49,14,1178075,1835093,2006,ERROR,41.702806335,-87.623545729,"(41.702806335, -87.623545729)"
8172753,HT407165,2011-07-20 17:50:00,021XX W 21ST PL,0820,THEFT,$500 AND UNDER,RESIDENCE,262,False,False,1223,12,25,31,06,1162541,1889761,2011,2011-03-08 09:56:44,41.853160001,-87.678904133,"(41.853160001, -87.678904133)"
8154927,HT390078,2011-07-10 15:50:00,046XX W NORTH AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,2972,True,False,2533,25,37,25,06,1144852,1910260,2011,2011-11-07 10:34:01,41.909763298,-87.743312036,"(41.909763298, -87.743312036)"
6944181,HR349635,2009-05-30 18:13:00,015XX W 63RD ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,1296,False,False,713,7,16,67,03,1167116,1862990,2009,2009-12-06 18:29:17,41.779600581,-87.662879029,"(41.779600581, -87.662879029)"
5836733,HN643782,2007-10-12 14:00:00,027XX W SUMMERDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,3105,False,False,2011,20,40,4,14,1157009,1935459,2007,ERROR,41.978672864,-87.697965904,"(41.978672864, -87.697965904)"
7740163,HS548309,2010-10-04 21:30:00,057XX N WASHTENAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,594,True,False,2011,20,40,2,18,1157257,1938221,2010,2010-04-10 23:26:24,41.986246871,-87.696978408,"(41.986246871, -87.696978408)"
4984650,HM597309,2006-09-11 18:30:00,052XX S STATE ST,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",1591,False,False,232,2,3,40,06,1177212,1869954,2006,ERROR,41.798488523,-87.625655865,"(41.798488523, -87.625655865)"
3941717,HL312501,2005-04-22 08:00:00,069XX S EBERHART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1397,False,True,322,3,6,69,08B,1180740,1858964,2005,ERROR,41.76825049,-87.613055702,"(41.76825049, -87.613055702)"
5084563,HM687682,2006-10-28 14:30:00,022XX S PULASKI RD,0560,ASSAULT,SIMPLE,STREET,2224,False,False,1013,10,22,29,08A,1150013,1889063,2006,ERROR,41.851497405,-87.724904562,"(41.851497405, -87.724904562)"
8136835,HT371007,2011-06-28 23:20:00,011XX N CHRISTIANA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,538,True,False,1121,11,26,23,18,1153742,1907328,2011,ERROR,41.901545171,-87.710731851,"(41.901545171, -87.710731851)"
1815636,G631826,2001-10-20 18:30:00,046XX S HALSTED ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,2501,True,False,921,NA,NA,NA,26,1171705,1874218,2001,ERROR,41.810312019,-87.645725963,"(41.810312019, -87.645725963)"
9276577,HW420770,2013-08-23 16:40:00,007XX S ALBANY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,658,True,False,1134,11,24,27,18,1155766,1896834,2013,ERROR,41.872708075,-87.703580324,"(41.872708075, -87.703580324)"
1603336,G368431,2001-06-24 19:52:14,001XX W CHICAGO AV,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,PARKING LOT/GARAGE(NON.RESID.),3948,True,False,1832,NA,NA,NA,26,1175257,1905662,2001,ERROR,41.896517917,-87.631755414,"(41.896517917, -87.631755414)"
7210353,HR608426,2009-10-26 08:40:00,015XX S PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),ABANDONED BUILDING,1124,True,False,1012,10,24,29,18,1149936,1891869,2009,2009-04-11 09:53:16,41.859198911,-87.725114223,"(41.859198911, -87.725114223)"
4471848,HL301576,2005-04-17 20:50:03,006XX E GRAND AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,3257,False,False,1834,18,42,8,26,1180772,1904096,2005,2007-11-06 15:52:33,41.892095212,-87.611548469,"(41.892095212, -87.611548469)"
7637700,HS441827,2010-08-02 12:45:00,028XX W 22ND PL,1570,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,2297,False,False,1033,10,12,30,17,1157857,1888970,2010,ERROR,41.851086084,-87.696117577,"(41.851086084, -87.696117577)"
4703044,HM309199,2006-04-24 00:00:00,012XX N CLARK ST,0820,THEFT,$500 AND UNDER,STREET,20,False,False,1821,18,42,8,06,1175274,1908508,2006,2014-04-12 12:43:35,41.904327102,-87.631607477,"(41.904327102, -87.631607477)"
3961270,HL324634,2005-04-29 08:30:00,005XX W DIVISION ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CHA HALLWAY/STAIRWELL/ELEVATOR,4726,False,False,1821,18,27,8,04B,1172300,1908305,2005,ERROR,41.903836297,-87.642537685,"(41.903836297, -87.642537685)"
2281333,HH546276,2002-07-30 13:30:00,069XX S EMERALD AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,864,True,False,732,NA,6,68,18,1172538,1859044,2002,ERROR,41.76865457,-87.643117449,"(41.76865457, -87.643117449)"
1837655,G672065,2001-11-07 21:45:40,062XX S ST LAWRENCE AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,4001,True,False,313,NA,NA,NA,14,1181266,1863792,2001,ERROR,41.78148689,-87.610979035,"(41.78148689, -87.610979035)"
1842160,G679483,2001-11-11 03:30:00,021XX N CAMPBELL AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1986,False,False,1431,NA,NA,NA,07,1159571,1914405,2001,ERROR,41.920846924,-87.689126006,"(41.920846924, -87.689126006)"
2636288,HJ216645,2003-03-03 20:48:00,045XX W WASHINGTON BLVD,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,1393,True,False,1113,NA,28,26,16,1146373,1900156,2003,ERROR,41.882007967,-87.737982025,"(41.882007967, -87.737982025)"
1496183,G233892,2001-04-24 09:00:00,004XX E MC FETRIDGE DR,0820,THEFT,$500 AND UNDER,PARK PROPERTY,187,False,False,133,NA,NA,NA,06,1179031,1894246,2001,2014-04-12 12:43:35,41.865106307,-87.618243723,"(41.865106307, -87.618243723)"
3931945,HL305935,2005-04-19 16:00:00,015XX N ARTESIAN AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),1386,False,False,1423,14,1,24,06,1159834,1910187,2005,2014-04-12 12:43:35,41.909266991,-87.688276249,"(41.909266991, -87.688276249)"
5621453,HN427508,2007-06-25 13:25:00,040XX W DICKENS AVE,2022,NARCOTICS,POSS: COCAINE,STREET,2783,True,False,2525,25,30,20,18,1149318,1913614,2007,2007-01-07 02:00:46,41.918881522,-87.726818542,"(41.918881522, -87.726818542)"
1709847,G508926,2001-08-26 02:00:00,010XX N MONTICELLO AV,0460,BATTERY,SIMPLE,RESIDENCE,3761,False,True,1112,NA,NA,NA,08B,1151889,1906869,2001,ERROR,41.900322332,-87.717550266999993,"(41.900322332, -87.717550267)"
2306701,HH595350,2002-08-21 05:45:00,001XX W POLK ST,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,1890,False,False,131,NA,2,32,07,1175097,1896746,2002,ERROR,41.872055484,-87.63261045,"(41.872055484, -87.63261045)"
6581196,HP653741,2008-10-07 03:00:00,034XX W SCHOOL ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),312,False,False,1732,17,35,21,06,1152747,1921690,2008,ERROR,41.940975485,-87.714005626,"(41.940975485, -87.714005626)"
5443942,HN272087,2007-04-08 15:44:18,059XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,1938,False,False,713,7,16,67,14,1167399,1865013,2007,ERROR,41.785145883,-87.661783592,"(41.785145883, -87.661783592)"
3792137,HK836619,2004-12-30 18:30:00,131XX S VERNON AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE PORCH/HALLWAY,4455,True,False,533,5,9,54,18,1181519,1818462,2004,ERROR,41.657089903,-87.61144499,"(41.657089903, -87.61144499)"
9206054,HW352076,2013-07-07 15:00:00,016XX W 38TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,975,True,True,912,9,11,59,08B,1165971,1879568,2013,2013-08-07 12:07:35,41.825116974,-87.666605306,"(41.825116974, -87.666605306)"
4720801,HM327230,2006-05-03 05:03:58,026XX E 73RD ST,0334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,SIDEWALK,4270,False,False,334,3,7,43,03,1194873,1857481,2006,2006-07-05 03:57:33,41.763844577,-87.561301231,"(41.763844577, -87.561301231)"
7034576,HR441456,2009-07-21 21:05:00,107XX S HALSTED ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,1442,True,False,2233,22,34,75,03,1172840,1833829,2009,ERROR,41.699454527,-87.642752065,"(41.699454527, -87.642752065)"
8348862,HT582100,2011-11-09 15:00:00,108XX S BENSLEY AVE,0560,ASSAULT,SIMPLE,SIDEWALK,844,False,False,434,4,10,51,08A,1194612,1833847,2011,ERROR,41.698997218,-87.563033068,"(41.698997218, -87.563033068)"
2882234,HJ552553,2003-08-08 22:00:00,109XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,664,False,False,513,5,9,49,14,1178490,1832061,2003,ERROR,41.694476704,-87.622117791,"(41.694476704, -87.622117791)"
8571720,HV245210,2011-12-26 09:00:00,038XX W NORTH AVE,0842,THEFT,AGG: FINANCIAL ID THEFT,BANK,4830,False,False,2535,25,30,23,06,1150240,1910394,2011,ERROR,41.910027597,-87.723515111,"(41.910027597, -87.723515111)"
